Date,Open,High,Low,Close,Adj Close,Volume
2020-01-21,1.14,1.14,1.07,1.08,1.08,1092907
2020-01-17,1.14,1.18,1.11,1.14,1.14,1416290
2020-01-16,1.17,1.1797,1.13,1.1349,1.1349,404406
2020-01-15,1.21,1.21,1.17,1.17,1.17,214734
2020-01-14,1.15,1.2695,1.13,1.21,1.21,958917
2020-01-13,1.21,1.231,1.13,1.14,1.14,382594
2020-01-10,1.24,1.24,1.19,1.2,1.2,284207
2020-01-09,1.28,1.29,1.24,1.25,1.25,424204
2020-01-08,1.48,2.04,1.2,1.29,1.29,6218570
2020-01-07,1.34,1.42,1.31,1.35,1.35,223909
2020-01-06,1.24,1.43,1.23,1.41,1.41,354457
2020-01-03,1.28,1.3,1.22,1.25,1.25,128659
2020-01-02,1.26,1.2807,1.2,1.2516,1.2516,169434
2019-12-31,1.34,1.34,1.21,1.25,1.25,235788
2019-12-30,1.22,1.35,1.2,1.31,1.31,655839
2019-12-27,1.15,1.235,1.11,1.22,1.22,705462
2019-12-26,1.17,1.17,1.13,1.16,1.16,146121
2019-12-24,1.17,1.18,1.15,1.18,1.18,92920
2019-12-23,1.18,1.2,1.16,1.17,1.17,107079
2019-12-20,1.2,1.2,1.17,1.2,1.2,66251
2019-12-19,1.18,1.2,1.17,1.2,1.2,110055
2019-12-18,1.18,1.19,1.16,1.19,1.19,131047
2019-12-17,1.18,1.24,1.17,1.2,1.2,214597
2019-12-16,1.15,1.24,1.15,1.18,1.18,257257
2019-12-13,1.2,1.2099,1.16,1.17,1.17,122401
2019-12-12,1.16,1.23,1.15,1.2,1.2,461974
2019-12-11,1.16,1.19,1.12,1.14,1.14,283261
2019-12-10,1.15,1.19,1.14,1.15,1.15,202167
2019-12-09,1.17,1.17,1.1,1.16,1.16,348296
2019-12-06,1.17,1.2,1.17,1.17,1.17,327965
2019-12-05,1.3,1.33,1.15,1.16,1.16,1205325
2019-12-04,1.22,1.32,1.2,1.29,1.29,578201
2019-12-03,1.15,1.29,1.15,1.235,1.235,727798
2019-12-02,1.16,1.1899,1.14,1.16,1.16,131689
2019-11-29,1.2,1.22,1.14,1.18,1.18,156399
2019-11-27,1.25,1.25,1.19,1.195,1.195,388352
2019-11-26,1.18,1.26,1.18,1.24,1.24,629153
2019-11-25,1.14,1.1934,1.105,1.16,1.16,241364
2019-11-22,1.16,1.26,1.1,1.18,1.18,430411
2019-11-21,1.39,1.4124,1.17,1.22,1.22,1306423
2019-11-20,1.35,1.42,1.31,1.31,1.31,1244379
2019-11-19,1.36,1.39,1.3,1.33,1.33,1010921
2019-11-18,1.41,1.4637,1.3,1.35,1.35,181950
2019-11-15,1.47,1.5099,1.4,1.4,1.4,166175
2019-11-14,1.49,1.52,1.45,1.48,1.48,97634
2019-11-13,1.6,1.6052,1.42,1.5,1.5,514520
2019-11-12,1.77,1.7754,1.55,1.61,1.61,328718
2019-11-11,1.81,1.91,1.7105,1.75,1.75,481671
2019-11-08,1.8,1.81,1.65,1.72,1.72,284668
2019-11-07,1.88,1.8813,1.78,1.79,1.79,150360
2019-11-06,1.9,1.93,1.8,1.88,1.88,199860
2019-11-05,1.95,2.0,1.85,1.89,1.89,407011
2019-11-04,2.09,2.09,1.85,1.95,1.95,478555
2019-11-01,2.03,2.09,2.01,2.03,2.03,362463
2019-10-31,2.0,2.29,1.94,2.09,2.09,1336223
2019-10-30,3.4,3.5,3.1,3.15,3.15,909156
2019-10-29,3.33,3.6,3.26,3.36,3.36,515336
2019-10-28,3.1,3.2883,2.8,3.21,3.21,436084
2019-10-25,3.18,3.26,2.95,3.14,3.14,492239
2019-10-24,3.73,4.1,3.05,3.25,3.25,2166842
2019-10-23,2.9,3.75,2.82,3.618,3.618,2326790
2019-10-22,2.73,2.8,2.64,2.75,2.75,567911
2019-10-21,2.81,3.0,2.62,2.75,2.75,948036
2019-10-18,2.8,2.86,2.66,2.81,2.81,351841
2019-10-17,2.82,3.05,2.78,2.8,2.8,66009
2019-10-16,2.69,2.9199,2.6783,2.77,2.77,58864
2019-10-15,2.75,2.8372,2.6624,2.82,2.82,17834
2019-10-14,2.6,2.8327,2.5816,2.68,2.68,71118
2019-10-11,2.5669,2.685,2.52,2.57,2.57,16390
2019-10-10,2.6,2.6,2.49,2.51,2.51,9308
