Date,Open,High,Low,Close,Adj Close,Volume
2019-10-07,0.4,0.4178,0.38,0.3919,3.919,332419
2019-10-04,0.44,0.47,0.42,0.430363,4.30363,93940
2019-10-03,0.49,0.49,0.4117,0.46,4.6,185871
2019-10-02,0.4282,0.489,0.4282,0.475,4.75,342290
2019-10-01,0.41,0.468823,0.400275,0.4449,4.449,657763
2019-09-30,0.3925,0.4144,0.39,0.4013,4.013,197168
2019-09-27,0.41,0.4161,0.3925,0.3925,3.925,276823
2019-09-26,0.4099,0.43,0.3779,0.41,4.1,1193515
2019-09-25,0.37,0.375,0.35,0.36995,3.6995,1215170
2019-09-24,0.32,0.45,0.28,0.3487,3.487,2161245
2019-09-23,0.3299,0.3299,0.316,0.319318,3.19318,192170
2019-09-20,0.34,0.34,0.3201,0.3299,3.299,105900
2019-09-19,0.3216,0.3486,0.3201,0.3332,3.332,234232
2019-09-18,0.32,0.336,0.31,0.3112,3.112,51419
2019-09-17,0.33,0.33,0.32,0.3209,3.209,30507
2019-09-16,0.3325,0.339,0.31222,0.3241,3.241,163367
2019-09-13,0.323,0.3398,0.318,0.335,3.35,236047
2019-09-12,0.33,0.33,0.3116,0.32382,3.2382,307173
2019-09-11,0.3049,0.3049,0.2949,0.295,2.95,124330
2019-09-10,0.285,0.3052,0.28,0.2949,2.949,323488
2019-09-09,0.2903,0.2997,0.27,0.28,2.8,830145
2019-09-06,0.31,0.312,0.286189,0.29,2.9,510256
2019-09-05,0.35,0.38,0.3,0.302,3.02,3609458
2019-09-04,0.31,0.3149,0.2975,0.3001,3.001,247128
2019-09-03,0.3222,0.33,0.3,0.3,3.0,122233
2019-08-30,0.3,0.33,0.29,0.3,3.0,25125
2019-08-29,0.2935,0.3047,0.29,0.2901,2.901,34497
2019-08-28,0.2766,0.306,0.2766,0.2902,2.902,113002
2019-08-27,0.292,0.3,0.2752,0.2915,2.915,87108
2019-08-26,0.3138,0.3138,0.292,0.296212,2.96212,71741
2019-08-23,0.3,0.3,0.292,0.2989,2.989,50870
2019-08-22,0.3032,0.3055,0.292,0.3,3.0,130418
2019-08-21,0.3,0.315,0.2902,0.3149,3.149,47337
2019-08-20,0.327,0.327,0.29,0.31,3.1,91204
2019-08-19,0.329,0.329,0.3196,0.3235,3.235,41058
2019-08-16,0.3146,0.34,0.3014,0.316,3.16,58129
2019-08-15,0.31,0.31,0.3,0.305443,3.05443,82704
2019-08-14,0.35,0.35,0.3099,0.3251,3.251,105325
2019-08-13,0.38,0.38,0.3422,0.35,3.5,128938
2019-08-12,0.3689,0.3689,0.3476,0.3598,3.598,54299
2019-08-09,0.3798,0.38,0.34,0.367,3.67,7091
2019-08-08,0.37,0.3849,0.3501,0.38,3.8,54266
2019-08-07,0.365,0.3699,0.3539,0.363799,3.63799,80008
2019-08-06,0.385,0.385,0.34,0.3651,3.651,32763
2019-08-05,0.3899,0.3899,0.33,0.3484,3.484,133465
2019-08-02,0.3903,0.419,0.38,0.3855,3.855,65626
2019-08-01,0.3892,0.4199,0.3892,0.4026,4.026,114090
